,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
0,            UNNAMED,1949-06-11,00:00:00,TS,20.2,106.3,45,995,40,35,27,35,13,11,9,11,5,4,3,5
1,            UNNAMED,1949-06-11,06:00:00,TS,20.2,106.4,45,995,40,35,27,35,13,11,9,11,5,4,3,5
2,            UNNAMED,1949-06-11,12:00:00,TS,20.2,106.7,45,995,40,35,27,35,13,11,9,11,5,4,3,5
3,            UNNAMED,1949-06-11,18:00:00,TS,20.3,107.7,45,995,40,35,27,35,13,11,9,11,5,4,3,5
4,            UNNAMED,1949-06-12,00:00:00,TS,20.4,108.6,45,995,40,35,27,35,13,11,9,11,5,4,3,5
5,            UNNAMED,1949-06-12,06:00:00,TS,20.5,109.4,45,995,40,35,27,35,13,11,9,11,5,4,3,5
6,            UNNAMED,1949-06-12,12:00:00,TS,20.6,110.2,45,995,40,35,27,35,13,11,9,11,5,4,3,5
7,            UNNAMED,1949-06-17,12:00:00,TS,14.1,107.0,45,995,40,35,27,35,13,11,9,11,5,4,3,5
8,            UNNAMED,1949-06-17,18:00:00,TS,14.6,107.7,45,995,40,35,27,35,13,11,9,11,5,4,3,5
9,            UNNAMED,1949-06-18,00:00:00,TS,15.0,108.4,45,995,40,35,27,35,13,11,9,11,5,4,3,5
10,            UNNAMED,1949-06-18,06:00:00,TS,15.4,109.2,45,995,40,35,27,35,13,11,9,11,5,4,3,5
11,            UNNAMED,1949-06-18,12:00:00,TS,15.7,110.0,45,995,40,35,27,35,13,11,9,11,5,4,3,5
12,            UNNAMED,1949-06-18,18:00:00,TS,16.0,110.8,45,995,40,35,27,35,13,11,9,11,5,4,3,5
13,            UNNAMED,1949-06-19,00:00:00,TS,16.3,111.6,45,995,40,35,27,35,13,11,9,11,5,4,3,5
14,            UNNAMED,1949-06-19,06:00:00,TS,16.7,112.3,45,995,40,35,27,35,13,11,9,11,5,4,3,5
15,            UNNAMED,1949-06-19,12:00:00,TS,17.1,112.9,45,995,40,35,27,35,13,11,9,11,5,4,3,5
16,            UNNAMED,1949-06-19,18:00:00,TS,17.5,113.5,45,995,40,35,27,35,13,11,9,11,5,4,3,5
17,            UNNAMED,1949-06-20,00:00:00,TS,18.0,114.1,45,995,40,35,27,35,13,11,9,11,5,4,3,5
18,            UNNAMED,1949-06-20,06:00:00,TS,18.4,114.6,45,995,40,35,27,35,13,11,9,11,5,4,3,5
19,            UNNAMED,1949-06-20,12:00:00,TS,18.9,115.1,45,995,40,35,27,35,13,11,9,11,5,4,3,5
20,            UNNAMED,1949-06-20,18:00:00,TS,19.4,115.6,45,995,40,35,27,35,13,11,9,11,5,4,3,5
21,            UNNAMED,1949-06-21,00:00:00,TS,19.9,116.0,45,995,40,35,27,35,13,11,9,11,5,4,3,5
22,            UNNAMED,1949-06-21,06:00:00,TS,20.4,116.4,45,995,40,35,27,35,13,11,9,11,5,4,3,5
23,            UNNAMED,1949-06-21,12:00:00,TS,21.0,116.7,45,995,40,35,27,35,13,11,9,11,5,4,3,5
24,            UNNAMED,1949-06-21,18:00:00,TS,21.5,117.1,45,995,40,35,27,35,13,11,9,11,5,4,3,5
25,            UNNAMED,1949-06-22,00:00:00,TS,22.0,117.5,45,995,40,35,27,35,13,11,9,11,5,4,3,5
26,            UNNAMED,1949-06-22,06:00:00,TS,22.5,117.8,45,995,40,35,27,35,13,11,9,11,5,4,3,5
