Unnamed: 0,Name,Month,Year,Status,Maximum Wind,Minimum Pressure
0,               OLAF,10.0,2015.0, HU,100.0,961.0
1,               OLAF,10.0,2015.0, HU,105.0,958.0
2,               OLAF,10.0,2015.0, HU,105.0,957.0
3,               OLAF,10.0,2015.0, HU,105.0,957.0
4,               OLAF,10.0,2015.0, HU,105.0,956.0
5,               OLAF,10.0,2015.0, HU,105.0,956.0
6,               OLAF,10.0,2015.0, HU,105.0,955.0
7,               OLAF,10.0,2015.0, HU,95.0,964.0
8,               OLAF,10.0,2015.0, HU,85.0,970.0
9,               OLAF,10.0,2015.0, HU,80.0,974.0
10,               OLAF,10.0,2015.0, HU,80.0,974.0
11,               OLAF,10.0,2015.0, HU,80.0,974.0
12,               OLAF,10.0,2015.0, HU,75.0,977.0
13,               OLAF,10.0,2015.0, HU,65.0,983.0
14,               OLAF,10.0,2015.0, TS,55.0,989.0
15,               OLAF,10.0,2015.0, TS,50.0,992.0
16,               OLAF,10.0,2015.0, TS,45.0,995.0
17,               OLAF,10.0,2015.0, TS,45.0,1000.0
18,               OLAF,10.0,2015.0, LO,40.0,1000.0
19,               OLAF,10.0,2015.0, LO,35.0,1002.0
20,               OLAF,10.0,2015.0, LO,35.0,1002.0
21,               OLAF,10.0,2015.0, LO,30.0,1004.0
22,               OLAF,10.0,2015.0, LO,25.0,1006.0
23,           PATRICIA,10.0,2015.0, TD,25.0,1007.0
24,           PATRICIA,10.0,2015.0, TD,30.0,1006.0
25,           PATRICIA,10.0,2015.0, TD,30.0,1006.0
26,           PATRICIA,10.0,2015.0, TS,35.0,1004.0
27,           PATRICIA,10.0,2015.0, TS,35.0,1004.0
28,           PATRICIA,10.0,2015.0, TS,40.0,1001.0
29,           PATRICIA,10.0,2015.0, TS,50.0,997.0
30,           PATRICIA,10.0,2015.0, TS,60.0,991.0
31,           PATRICIA,10.0,2015.0, HU,75.0,981.0
32,           PATRICIA,10.0,2015.0, HU,90.0,969.0
33,           PATRICIA,10.0,2015.0, HU,115.0,957.0
34,           PATRICIA,10.0,2015.0, HU,150.0,920.0
35,           PATRICIA,10.0,2015.0, HU,180.0,886.0
36,           PATRICIA,10.0,2015.0, HU,185.0,872.0
37,           PATRICIA,10.0,2015.0, HU,180.0,878.0
38,           PATRICIA,10.0,2015.0, HU,130.0,932.0
39,           PATRICIA,10.0,2015.0, HU,110.0,946.0
40,           PATRICIA,10.0,2015.0, TS,50.0,985.0
41,           PATRICIA,10.0,2015.0, TD,25.0,1000.0
42,               RICK,11.0,2015.0, LO,25.0,1007.0
43,               RICK,11.0,2015.0, TD,30.0,1005.0
44,               RICK,11.0,2015.0, TD,30.0,1004.0
45,               RICK,11.0,2015.0, TD,30.0,1004.0
46,               RICK,11.0,2015.0, TD,30.0,1003.0
47,               RICK,11.0,2015.0, TS,35.0,1002.0
48,               RICK,11.0,2015.0, TS,35.0,1002.0
49,               RICK,11.0,2015.0, TS,35.0,1002.0
50,               RICK,11.0,2015.0, TS,35.0,1002.0
51,               RICK,11.0,2015.0, TS,35.0,1002.0
52,               RICK,11.0,2015.0, TS,35.0,1002.0
53,               RICK,11.0,2015.0, TS,35.0,1003.0
54,               RICK,11.0,2015.0, TS,35.0,1003.0
55,               RICK,11.0,2015.0, TS,35.0,1003.0
56,               RICK,11.0,2015.0, TS,35.0,1003.0
57,               RICK,11.0,2015.0, TS,35.0,1003.0
58,               RICK,11.0,2015.0, TD,30.0,1004.0
59,               RICK,11.0,2015.0, TD,30.0,1005.0
60,               RICK,11.0,2015.0, LO,30.0,1005.0
61,               RICK,11.0,2015.0, LO,30.0,1005.0
62,               RICK,11.0,2015.0, LO,30.0,1005.0
63,               RICK,11.0,2015.0, LO,25.0,1006.0
64,               RICK,11.0,2015.0, LO,25.0,1007.0
65,               RICK,11.0,2015.0, LO,25.0,1007.0
66,               RICK,11.0,2015.0, LO,25.0,1007.0
67,               RICK,11.0,2015.0, LO,20.0,1008.0
